,Year,Airport,Cause,Delays (%)
185,2009,DCA,Air Carrier Delay,5.027213090219748
186,2009,DEN,Air Carrier Delay,3.909369946063114
187,2009,DFW,Air Carrier Delay,3.6483058039839915
188,2009,DTW,Air Carrier Delay,4.54330718988537
189,2009,EWR,Air Carrier Delay,2.8850480155798808
190,2009,FLL,Air Carrier Delay,6.3200006379280085
191,2009,IAD,Air Carrier Delay,6.561438291353127
192,2009,IAH,Air Carrier Delay,3.194614884468073
193,2009,JFK,Air Carrier Delay,4.592908595591061
194,2009,LAS,Air Carrier Delay,4.4084494277280015
195,2009,LAX,Air Carrier Delay,4.652933729492315
196,2009,LGA,Air Carrier Delay,4.1937179015963535
197,2009,MCO,Air Carrier Delay,5.4618177934422745
198,2009,MDW,Air Carrier Delay,3.822027760297313
199,2009,MIA,Air Carrier Delay,6.607349915840657
200,2009,MSP,Air Carrier Delay,4.658928348390857
201,2009,ORD,Air Carrier Delay,3.829049206798236
202,2009,PDX,Air Carrier Delay,4.960180545461499
203,2009,PHL,Air Carrier Delay,4.158862463660842
204,2009,PHX,Air Carrier Delay,4.688666692012316
205,2009,SAN,Air Carrier Delay,5.33638413582703
206,2009,SEA,Air Carrier Delay,5.077128792305942
207,2009,SFO,Air Carrier Delay,4.047679189358874
208,2009,SLC,Air Carrier Delay,3.161856287879363
209,2009,TPA,Air Carrier Delay,5.695088765064144
210,2010,ATL,Air Carrier Delay,3.9322786519889212
211,2010,BOS,Air Carrier Delay,5.229142993049867
212,2010,BWI,Air Carrier Delay,4.710978278374053
213,2010,CLT,Air Carrier Delay,4.00431065392859
214,2010,DAL,Air Carrier Delay,4.454300030236274
215,2010,DCA,Air Carrier Delay,5.157340480939015
216,2010,DEN,Air Carrier Delay,3.479775643578469
217,2010,DFW,Air Carrier Delay,3.596318761765321
218,2010,DTW,Air Carrier Delay,5.480429434131068
219,2010,EWR,Air Carrier Delay,3.178989587620741
220,2010,FLL,Air Carrier Delay,6.95889246949802
221,2010,IAD,Air Carrier Delay,4.583704011100884
222,2010,IAH,Air Carrier Delay,3.252480651464375
223,2010,JFK,Air Carrier Delay,5.28695644411116
224,2010,LAS,Air Carrier Delay,4.71518089545661
225,2010,LAX,Air Carrier Delay,4.788952600345545
226,2010,LGA,Air Carrier Delay,4.522064702326397
227,2010,MCO,Air Carrier Delay,5.813675716773352
228,2010,MDW,Air Carrier Delay,4.910646185815318
229,2010,MIA,Air Carrier Delay,6.26098770756955
230,2010,MSP,Air Carrier Delay,5.759593984484295
231,2010,ORD,Air Carrier Delay,3.2987291447970883
232,2010,PDX,Air Carrier Delay,4.889314134141722
233,2010,PHL,Air Carrier Delay,4.575336899844249
234,2010,PHX,Air Carrier Delay,3.914824271635846
235,2010,SAN,Air Carrier Delay,5.601937674028301
236,2010,SEA,Air Carrier Delay,4.75656460135704
237,2010,SFO,Air Carrier Delay,3.909651202650975
238,2010,SLC,Air Carrier Delay,4.2435349493621155
239,2010,TPA,Air Carrier Delay,6.079315911173157
240,2011,ATL,Air Carrier Delay,3.7712510590228745
241,2011,BOS,Air Carrier Delay,5.487086687391175
242,2011,BWI,Air Carrier Delay,4.080400087973455
243,2011,CLT,Air Carrier Delay,4.636227323932719
244,2011,DAL,Air Carrier Delay,3.8738632310984307
245,2011,DCA,Air Carrier Delay,5.152393258735876
246,2011,DEN,Air Carrier Delay,3.7906850540810377
247,2011,DFW,Air Carrier Delay,3.6604418828049963
248,2011,DTW,Air Carrier Delay,4.9164891540734965
249,2011,EWR,Air Carrier Delay,4.990005542543491
250,2011,FLL,Air Carrier Delay,6.304301621771476
251,2011,IAD,Air Carrier Delay,4.864694023541651
252,2011,IAH,Air Carrier Delay,4.273286041216051
253,2011,JFK,Air Carrier Delay,4.930373712978261
254,2011,LAS,Air Carrier Delay,4.7299593923898335
255,2011,LAX,Air Carrier Delay,4.79978383708142
256,2011,LGA,Air Carrier Delay,4.375039565443798
257,2011,MCO,Air Carrier Delay,5.482199032914692
258,2011,MDW,Air Carrier Delay,3.8859548103277524
259,2011,MIA,Air Carrier Delay,5.682630634816159
260,2011,MSP,Air Carrier Delay,4.549910856354119
261,2011,ORD,Air Carrier Delay,3.677526381713352
262,2011,PDX,Air Carrier Delay,5.111651587992583
263,2011,PHL,Air Carrier Delay,4.739115815835546
264,2011,PHX,Air Carrier Delay,3.9614148593161573
265,2011,SAN,Air Carrier Delay,5.822912163489882
266,2011,SEA,Air Carrier Delay,4.870072409488138
267,2011,SFO,Air Carrier Delay,4.149448950741824
268,2011,SLC,Air Carrier Delay,3.6827447073891464
269,2011,TPA,Air Carrier Delay,5.68850559731213
270,2012,ATL,Air Carrier Delay,3.4309139105964244
271,2012,BOS,Air Carrier Delay,5.371467325485636
272,2012,BWI,Air Carrier Delay,4.118672769321578
273,2012,CLT,Air Carrier Delay,3.3848123055193877
274,2012,DAL,Air Carrier Delay,3.6135738642613573
275,2012,DCA,Air Carrier Delay,5.098371059868839
276,2012,DEN,Air Carrier Delay,4.202864782276548
277,2012,DFW,Air Carrier Delay,3.69109815047954
278,2012,DTW,Air Carrier Delay,4.131822627975222
279,2012,EWR,Air Carrier Delay,5.073589194750029
280,2012,FLL,Air Carrier Delay,5.8957561142618955
281,2012,IAD,Air Carrier Delay,5.226307769107485
282,2012,IAH,Air Carrier Delay,4.847082370186615
283,2012,JFK,Air Carrier Delay,4.609894749850673
284,2012,LAS,Air Carrier Delay,4.486700220725723
285,2012,LAX,Air Carrier Delay,4.869393193104287
286,2012,LGA,Air Carrier Delay,3.982077626719531
287,2012,MCO,Air Carrier Delay,5.397739661615025
288,2012,MDW,Air Carrier Delay,3.858781618206553
289,2012,MIA,Air Carrier Delay,5.362078069260388
290,2012,MSP,Air Carrier Delay,3.926314456763551
291,2012,ORD,Air Carrier Delay,4.079383729876418
292,2012,PDX,Air Carrier Delay,5.026580500140488
293,2012,PHL,Air Carrier Delay,4.427858225397676
294,2012,PHX,Air Carrier Delay,3.588823641875837
295,2012,SAN,Air Carrier Delay,5.657594813614263
